*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=BITBA555_tutorial5
*Date=03:58:12
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
350;;;74.9808;-76.9622;0;Bottom;Copper Fill104
351;;;73.3933;-4.5468;0;Bottom;Copper Fill47
352;;;76.9493;-68.4786;0;Bottom;Copper Fill222
353;;;77.5208;-22.403;0;Bottom;Copper Fill171
354;;;64.6215;-52.4684;0;Bottom;Via28
355;;;11.5697;-81.5342;0;Bottom;Copper Fill229
356;10k;THT;68.6218;-79.3885;90;Bottom;R64
357;5.6k;THT;38.5417;-80.4682;180;Bottom;R62
358;;;51.5493;-27.483;0;Bottom;Copper Fill45
359;1k;THT;35.6215;-18.5484;-90;Bottom;R8
360;;;93.853;-12.9796;0;Bottom;Copper Fill31
361;;;44.5897;-2.7688;0;Bottom;Copper Fill209
362;;;78.8797;-92.1514;0;Bottom;Copper Fill91
363;100k;THT;72.7016;-29.4684;0;Bottom;R35
364;100nF;100 mil [THT, multilayer];28.6216;-70.1985;-90;Bottom;C19
365;;;100.66;-15.3926;0;Bottom;Copper Fill182
366;100k;THT;78.7016;-8.46828;0;Bottom;R43
367;;;97.1042;-31.8772;0;Bottom;Copper Fill164
368;;;43.815;-3.5435;0;Bottom;Copper Fill42
369;;TO92 [THT];25.7104;-64.7377;-90;Bottom;Q5
370;;DIP (Dual Inline) [THT];63.4317;-23.1983;0;Bottom;uA743
371;;;15.5395;-6.29007;0;Bottom;IMG1
372;;;38.6215;-10.4684;0;Bottom;Via6
373;;;48.133;-50.8256;0;Bottom;Copper Fill130
374;;;9.906;-65.329;0;Bottom;Copper Fill112
375;;;60.2488;-47.4728;0;Bottom;Copper Fill137
376;;;57.6218;-97.4683;0;Bottom;Via37
377;;;40.6217;-52.4684;0;Bottom;Via23
378;;;75.4634;-90.5131;0;Bottom;Copper Fill245
379;;;91.5797;-84.5568;0;Bottom;Copper Fill76
380;100nF;100 mil [THT, multilayer];29.8916;-94.4684;0;Bottom;C21
381;;;82.9818;-42.8119;0;Bottom;Copper Fill215
382;;;82.423;-32.182;0;Bottom;Copper Fill168
383;;;75.6158;-34.1886;0;Bottom;Copper Fill162
384;;;40.5765;-30.5564;0;Bottom;Copper Fill88
385;;;103.581;-27.3687;0;Bottom;Copper Fill50
386;;;26.3398;-35.6618;0;Bottom;Copper Fill160
387;;;82.0166;-21.4886;0;Bottom;Copper Fill178
388;;;86.4108;-52.756;0;Bottom;Copper Fill121
389;;;105.105;-10.973;0;Bottom;Copper Fill193
390;180;THT;101.622;-29.3883;-90;Bottom;R54
391;;;40.1066;-50.0636;0;Bottom;Copper Fill128
